,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Ohio,Ohio,GPE,0.05596591,0.46051136,en,4.00000000,,-1,,,,,,
Delhi-NCR,Delhi-NCR,GPE,-0.16721491,0.72203947,en,3.80000000,,-1,,,,,,
Antarctica,Antarctica,LOC,0.08715539,0.42080201,en,3.80000000,,-1,,,,,,
New York City,New York City,GPE,0.03992629,0.89021977,en,3.70000000,4042011-5,5128581,X,40.71416600,-74.00597000,NORTH-AMERICA,United States,ENA
Uttar Pradesh,Uttar Pradesh,GPE,-0.22442085,0.65588803,en,3.70000000,,-1,,,,,,
FINDLAY,FINDLAY,GPE,-0.07162162,0.95675676,en,3.70000000,,-1,,,,,,
Tamil Nadu,Tamil Nadu,GPE,-0.11138411,0.52866503,en,3.70000000,4078142-2,1255053,X,11.00000000,78.00000000,ASIA,India,SAS
Gurgaon,Gurgaon,GPE,-0.25675676,0.49549550,en,3.70000000,4804200-6,1270642,X,28.46010000,77.02634900,ASIA,India,SAS
Guwahati,Guwahati,GPE,-0.02972973,0.59369369,en,3.70000000,4368296-0,1271476,X,26.18617000,91.75095000,ASIA,India,SAS
Miami,Miami,GPE,0.09684685,0.71734234,en,3.70000000,,-1,,,,,,
Atlanta,Atlanta,GPE,-0.58648649,1.26576577,en,3.70000000,4086063-2,4180439,X,33.74888800,-84.38777700,NORTH-AMERICA,United States,ENA
Paris,Paris,GPE,-0.63963964,0.99099099,en,3.70000000,4044660-8,2988507,X,48.85340900,2.34880000,EUROPE,France,WCE
New Mexico,New Mexico,GPE,0.07790404,0.73005051,en,3.60000000,4042006-1,5481136,X,34.50034000,-106.49999900,NORTH-AMERICA,United States,WNA
Valley,Valley,LOC,0.10956790,0.95216049,en,3.60000000,,-1,,,,,,
WASHINGTON,WASHINGTON,GPE,-0.03438853,0.80498136,en,3.60000000,,-1,,,,,,
South Dakota State,South Dakota State,GPE,0.15238095,0.30317460,en,3.50000000,,-1,,,,,,
Australia,Australia,GPE,0.10261905,0.65190476,en,3.50000000,,-1,,,,,,
the Gaza Strip,the Gaza Strip,GPE,-0.12306122,0.46096939,en,3.50000000,,-1,,,,,,
New Jersey,New Jersey,GPE,0.26569264,0.74457071,en,3.50000000,4042004-8,5101760,X,40.16705900,-74.49987000,NORTH-AMERICA,United States,ENA
Siberia,Siberia,LOC,-0.03392857,0.11428571,en,3.50000000,,-1,,,,,,
Alabama,Alabama,GPE,0.08714698,0.76116265,en,3.50000000,4084839-5,4829764,X,32.75041000,-86.75025900,NORTH-AMERICA,United States,ENA
Chandigarh,Chandigarh,GPE,-0.15441176,0.93382353,en,3.40000000,,-1,,,,,,
Telangana,Telangana,GPE,-0.25757576,0.81565657,en,3.30000000,,-1,,,,,,
Indiana,Indiana,GPE,0.18677686,0.35592287,en,3.30000000,4109219-3,4921868,X,40.20000000,-86.25027000,NORTH-AMERICA,United States,ENA
Georgia,Georgia,GPE,-0.57170928,1.34864268,en,3.20000000,4020273-2,4197000,X,32.75041900,-83.50018000,NORTH-AMERICA,United States,ENA
Houston,Houston,GPE,-0.08750000,0.65000000,en,3.20000000,,-1,,,,,,
Hong Kong,Hong Kong,GPE,-0.08243728,0.53225806,en,3.10000000,4025822-1,1819730,X,22.25000000,114.16666600,ASIA,Hong Kong,EAS
Minneapolis,Minneapolis,GPE,0.35483871,0.85483871,en,3.10000000,,-1,,,,,,
Amsterdam,Amsterdam,GPE,-0.26881720,0.93548387,en,3.10000000,4001783-7,2759794,X,52.37402900,4.88968900,EUROPE,The Netherlands,NEU
valley,valley,LOC,0.01881720,0.92473118,en,3.10000000,,-1,,,,,,
West Bengal,West Bengal,LOC,0.11173021,0.69393939,en,3.10000000,4079196-8,1252881,X,24.00000000,88.00000000,ASIA,India,SAS
Michigan,Michigan,GPE,0.14181818,0.68439394,en,3.00000000,4115139-2,5001836,X,44.25028900,-85.50033000,NORTH-AMERICA,United States,ENA
Boston,Boston,GPE,-0.31043771,1.05656566,en,3.00000000,4007840-1,4930956,X,42.35833300,-71.05972200,NORTH-AMERICA,United States,ENA
Arizona,Arizona,GPE,-0.10476190,0.36666667,en,2.80000000,4002920-7,5551752,X,34.50030000,-111.50097900,NORTH-AMERICA,United States,WNA
ISTANBUL,ISTANBUL,GPE,-0.05038265,0.75488946,en,2.80000000,,-1,,,,,,
Rockies,Rockies,LOC,-0.07515171,0.66599799,en,2.80000000,,-1,,,,,,
Puducherry,Puducherry,GPE,0.02573052,0.38579545,en,2.80000000,16023115-2,1259425,X,11.93380900,79.82979000,ASIA,India,SAS
Thunder Bay,Thunder Bay,LOC,-0.12500000,0.75396825,en,2.80000000,,-1,,,,,,
Madrid,Madrid,GPE,-0.25000000,0.50000000,en,2.80000000,4036862-2,3117735,X,40.41649900,-3.70256000,EUROPE-AFRICA,Spain,MED
Philadelphia,Philadelphia,GPE,-0.18533550,1.31574675,en,2.80000000,,-1,,,,,,
Assam,Assam,GPE,-0.17066327,0.56045918,en,2.80000000,4003249-8,1278253,X,26.00000000,93.00000000,ASIA,India,SAS
Kamrup Metropolitan,Kamrup Metropolitan,GPE,-0.16428571,0.56875000,en,2.80000000,,-1,,,,,,
Midtown Beach,Midtown Beach,GPE,-0.46279762,0.80357143,en,2.80000000,,-1,,,,,,
Chhattisgarh,Chhattisgarh,GPE,-0.16964286,0.83035714,en,2.80000000,4670233-7,1444364,X,21.50000000,82.00000000,ASIA,India,SAS
Central Florida,Central Florida,LOC,-0.20833333,0.64404762,en,2.80000000,,-1,,,,,,
