index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
51c886548ac0c481357a9f05d2031f96,2025-10-24T06:58:29Z,'cold spell',www.irishtimes.com,en,0,Cold and damp morning as voters head to polling stations,More rain on the way over bank holiday weekend,https://www.irishtimes.com/ireland/2025/10/24/cold-and-damp-morning-as-voters-head-to-polling-stations/,https://www.irishtimes.com/resizer/v2/V4Z7U5HKVJABBUCQZOVT7Y5IUM.jpg?smart=true&auth=834dbbb52e62a4198b52fccf9221c74ab44479ba850dd1ffafcc4aaaf5b503bc&width=1200&height=630,,"It will be a cold and damp morning around the country as voters head out to polling stations for the presidential election. 
Showers are forecast across many parts of the country but sunny spells wi… [+1774 chars]",
2c9ce5ea1364095468e52679c7020fa2,2025-10-28T19:45:03Z,'cold spell',www.cnet.com,en,0,A Derelict Spaceship Hides a Terrible Secret in This Deep Space Sci-Fi Horror Flick on Tubi,"A ship mechanic awakens from cryosleep to a broken ship, cannibalistic creatures and a disaster in deep space.",https://www.cnet.com/culture/entertainment/a-derelict-spaceship-hides-a-terrible-secret-in-this-deep-space-sci-fi-horror-flick-on-tubi/,https://www.cnet.com/a/img/resize/2c9d533588569cbb588b7a51fafa05c27e262c92/hub/2025/08/22/ac0f55a9-52c8-4962-a3ae-a52e2d5e0159/pandorum-1200-1200-675-675-crop.jpg?auto=webp&fit=crop&height=675&width=1200,,"Deep space holds a horror all its own. The dark void where even a crack could spell death from the cold expanse of space. Sci-fi horror is probably one of my favorite genres, filled with hulking spac… [+4146 chars]",
